customer_id,customer_name,email,region
1001,Customer_1001,contact_1001@example.com,East
1002,Customer_1002,contact_1002@example.com,West
1003,Customer_1003,contact_1003@example.com,North
1004,Customer_1004,contact_1004@example.com,East
1005,Customer_1005,contact_1005@example.com,East
1006,Customer_1006,contact_1006@example.com,West
1007,Customer_1007,contact_1007@example.com,North
1008,Customer_1008,contact_1008@example.com,North
1009,Customer_1009,contact_1009@example.com,East
1010,Customer_1010,contact_1010@example.com,South
1011,Customer_1011,contact_1011@example.com,East
1012,Customer_1012,contact_1012@example.com,East
1013,Customer_1013,contact_1013@example.com,East
1014,Customer_1014,contact_1014@example.com,East
1015,Customer_1015,contact_1015@example.com,West
1016,Customer_1016,contact_1016@example.com,North
1017,Customer_1017,contact_1017@example.com,West
1018,Customer_1018,contact_1018@example.com,West
1019,Customer_1019,contact_1019@example.com,West
1020,Customer_1020,contact_1020@example.com,East
1021,Customer_1021,contact_1021@example.com,South
1022,Customer_1022,contact_1022@example.com,North
1023,Customer_1023,contact_1023@example.com,South
1024,Customer_1024,contact_1024@example.com,West
1025,Customer_1025,contact_1025@example.com,West
1026,Customer_1026,contact_1026@example.com,South
1027,Customer_1027,contact_1027@example.com,South
1028,Customer_1028,contact_1028@example.com,South
1029,Customer_1029,contact_1029@example.com,West
1030,Customer_1030,contact_1030@example.com,West
1031,Customer_1031,contact_1031@example.com,North
1032,Customer_1032,contact_1032@example.com,North
1033,Customer_1033,contact_1033@example.com,West
1034,Customer_1034,contact_1034@example.com,South
1035,Customer_1035,contact_1035@example.com,South
1036,Customer_1036,contact_1036@example.com,North
1037,Customer_1037,contact_1037@example.com,West
1038,Customer_1038,contact_1038@example.com,North
1039,Customer_1039,contact_1039@example.com,North
1040,Customer_1040,contact_1040@example.com,East
1041,Customer_1041,contact_1041@example.com,East
1042,Customer_1042,contact_1042@example.com,East
1043,Customer_1043,contact_1043@example.com,South
1044,Customer_1044,contact_1044@example.com,West
1045,Customer_1045,contact_1045@example.com,West
1046,Customer_1046,contact_1046@example.com,West
1047,Customer_1047,contact_1047@example.com,West
1048,Customer_1048,contact_1048@example.com,East
1049,Customer_1049,contact_1049@example.com,South
1050,Customer_1050,contact_1050@example.com,South
1051,Customer_1051,contact_1051@example.com,East
1052,Customer_1052,contact_1052@example.com,South
1053,Customer_1053,contact_1053@example.com,East
1054,Customer_1054,contact_1054@example.com,West
1055,Customer_1055,contact_1055@example.com,East
1056,Customer_1056,contact_1056@example.com,West
1057,Customer_1057,contact_1057@example.com,West
1058,Customer_1058,contact_1058@example.com,North
1059,Customer_1059,contact_1059@example.com,East
1060,Customer_1060,contact_1060@example.com,North
1061,Customer_1061,contact_1061@example.com,East
1062,Customer_1062,contact_1062@example.com,East
1063,Customer_1063,contact_1063@example.com,North
1064,Customer_1064,contact_1064@example.com,North
1065,Customer_1065,contact_1065@example.com,East
1066,Customer_1066,contact_1066@example.com,South
1067,Customer_1067,contact_1067@example.com,West
1068,Customer_1068,contact_1068@example.com,North
1069,Customer_1069,contact_1069@example.com,West
1070,Customer_1070,contact_1070@example.com,South
1071,Customer_1071,contact_1071@example.com,South
1072,Customer_1072,contact_1072@example.com,South
1073,Customer_1073,contact_1073@example.com,North
1074,Customer_1074,contact_1074@example.com,South
1075,Customer_1075,contact_1075@example.com,North
1076,Customer_1076,contact_1076@example.com,South
1077,Customer_1077,contact_1077@example.com,West
1078,Customer_1078,contact_1078@example.com,West
1079,Customer_1079,contact_1079@example.com,East
1080,Customer_1080,contact_1080@example.com,West
1081,Customer_1081,contact_1081@example.com,East
1082,Customer_1082,contact_1082@example.com,West
1083,Customer_1083,contact_1083@example.com,North
1084,Customer_1084,contact_1084@example.com,West
1085,Customer_1085,contact_1085@example.com,East
1086,Customer_1086,contact_1086@example.com,East
1087,Customer_1087,contact_1087@example.com,South
1088,Customer_1088,contact_1088@example.com,North
1089,Customer_1089,contact_1089@example.com,West
1090,Customer_1090,contact_1090@example.com,South
1091,Customer_1091,contact_1091@example.com,West
1092,Customer_1092,contact_1092@example.com,West
1093,Customer_1093,contact_1093@example.com,South
1094,Customer_1094,contact_1094@example.com,South
1095,Customer_1095,contact_1095@example.com,South
1096,Customer_1096,contact_1096@example.com,South
1097,Customer_1097,contact_1097@example.com,South
1098,Customer_1098,contact_1098@example.com,West
1099,Customer_1099,contact_1099@example.com,South
1100,Customer_1100,contact_1100@example.com,North
1101,Customer_1101,contact_1101@example.com,East
1102,Customer_1102,contact_1102@example.com,South
1103,Customer_1103,contact_1103@example.com,South
1104,Customer_1104,contact_1104@example.com,West
1105,Customer_1105,contact_1105@example.com,South
1106,Customer_1106,contact_1106@example.com,South
1107,Customer_1107,contact_1107@example.com,South
1108,Customer_1108,contact_1108@example.com,West
1109,Customer_1109,contact_1109@example.com,South
1110,Customer_1110,contact_1110@example.com,East
1111,Customer_1111,contact_1111@example.com,West
1112,Customer_1112,contact_1112@example.com,East
1113,Customer_1113,contact_1113@example.com,West
1114,Customer_1114,contact_1114@example.com,South
1115,Customer_1115,contact_1115@example.com,East
1116,Customer_1116,contact_1116@example.com,West
1117,Customer_1117,contact_1117@example.com,North
1118,Customer_1118,contact_1118@example.com,South
1119,Customer_1119,contact_1119@example.com,West
1120,Customer_1120,contact_1120@example.com,North
1121,Customer_1121,contact_1121@example.com,West
1122,Customer_1122,contact_1122@example.com,North
1123,Customer_1123,contact_1123@example.com,South
1124,Customer_1124,contact_1124@example.com,East
1125,Customer_1125,contact_1125@example.com,North
1126,Customer_1126,contact_1126@example.com,West
1127,Customer_1127,contact_1127@example.com,South
1128,Customer_1128,contact_1128@example.com,North
1129,Customer_1129,contact_1129@example.com,West
1130,Customer_1130,contact_1130@example.com,West
1131,Customer_1131,contact_1131@example.com,West
1132,Customer_1132,contact_1132@example.com,North
1133,Customer_1133,contact_1133@example.com,North
1134,Customer_1134,contact_1134@example.com,North
1135,Customer_1135,contact_1135@example.com,East
1136,Customer_1136,contact_1136@example.com,North
1137,Customer_1137,contact_1137@example.com,North
1138,Customer_1138,contact_1138@example.com,North
1139,Customer_1139,contact_1139@example.com,East
1140,Customer_1140,contact_1140@example.com,North
1141,Customer_1141,contact_1141@example.com,West
1142,Customer_1142,contact_1142@example.com,North
1143,Customer_1143,contact_1143@example.com,West
1144,Customer_1144,contact_1144@example.com,West
1145,Customer_1145,contact_1145@example.com,West
1146,Customer_1146,contact_1146@example.com,East
1147,Customer_1147,contact_1147@example.com,East
1148,Customer_1148,contact_1148@example.com,East
1149,Customer_1149,contact_1149@example.com,North
1150,Customer_1150,contact_1150@example.com,West
1151,Customer_1151,contact_1151@example.com,East
1152,Customer_1152,contact_1152@example.com,East
1153,Customer_1153,contact_1153@example.com,North
1154,Customer_1154,contact_1154@example.com,East
1155,Customer_1155,contact_1155@example.com,North
1156,Customer_1156,contact_1156@example.com,South
1157,Customer_1157,contact_1157@example.com,East
1158,Customer_1158,contact_1158@example.com,South
1159,Customer_1159,contact_1159@example.com,North
1160,Customer_1160,contact_1160@example.com,West
1161,Customer_1161,contact_1161@example.com,East
1162,Customer_1162,contact_1162@example.com,North
1163,Customer_1163,contact_1163@example.com,West
1164,Customer_1164,contact_1164@example.com,West
1165,Customer_1165,contact_1165@example.com,South
1166,Customer_1166,contact_1166@example.com,North
1167,Customer_1167,contact_1167@example.com,West
1168,Customer_1168,contact_1168@example.com,East
1169,Customer_1169,contact_1169@example.com,East
1170,Customer_1170,contact_1170@example.com,South
1171,Customer_1171,contact_1171@example.com,West
1172,Customer_1172,contact_1172@example.com,North
1173,Customer_1173,contact_1173@example.com,East
1174,Customer_1174,contact_1174@example.com,West
1175,Customer_1175,contact_1175@example.com,West
1176,Customer_1176,contact_1176@example.com,South
1177,Customer_1177,contact_1177@example.com,East
1178,Customer_1178,contact_1178@example.com,East
1179,Customer_1179,contact_1179@example.com,North
1180,Customer_1180,contact_1180@example.com,East
1181,Customer_1181,contact_1181@example.com,North
1182,Customer_1182,contact_1182@example.com,East
1183,Customer_1183,contact_1183@example.com,South
1184,Customer_1184,contact_1184@example.com,East
1185,Customer_1185,contact_1185@example.com,North
1186,Customer_1186,contact_1186@example.com,North
